t,price_usd_close,rhodl_ratio,sopr,sopr_adjusted,sopr_more_155,cdd90_age_adjusted,cdd90_account_based_age_adjusted,reserve_risk,marketcap_thermocap_ratio,nvt_entity_adjusted,puell_multiple,lth_net_change,net_unrealized_profit_loss,realized_profits_to_value_ratio,dormancy_flow,mvrv_z_score,profit_relative,mvrv_more_155,mvrv_less_155,transfers_volume_exchanges_net,current_adjusted,stock_to_flow_deflection,cdd,current,lth_sum,futures_funding_rate_perpetual,supply_balance_less_0001,supply_balance_0001_001,supply_balance_001_01,supply_balance_01_1,supply_balance_1_10,supply_balance_10_100,supply_balance_100_1k,supply_balance_1k_10k,supply_balance_10k_100k,supply_balance_more_100k,active_count,new_count,price_realized_usd,futures_annualized_basis_3m,balance_exchanges,revenue_sum,revenue_from_fees,volume_mined_sum,transfers_volume_miners_to_exchanges,sopr_less_155,illiquid_sum,liquid_sum,highly_liquid_sum,futures_open_interest_crypto_margin_sum,futures_open_interest_cash_margin_sum,futures_open_interest_crypto_margin_relative,futures_estimated_leverage_ratio,active_1y_2y,active_5y_7y,hash_rate_mean,difficulty_latest,channel_size_mean,channel_size_median,network_capacity_sum,channels_count,nodes_count,non_zero_count,count,amer_30d_price_change,apac_30d_price_change,emea_30d_price_change,nupl_less_155,nupl_more_155,active_more_1y_percent,active_more_2y_percent,active_more_3y_percent,active_more_5y_percent,liveliness,active_count,net_realized_profit_loss,options_25delta_skew_1_month,balance_miners_sum
2012-09-10,11.12703333,437.6521799,1.004305275,1.106163692,2.006819533,288562.1603,295055.034,0.004243310575,3.63E-07,28.49165787,1.97001848,39971.85505,0.4374884691,0.01586335936,1834133.754,1.398319033,0.8516351146,1.845738376,1.208015857,1099.299422,9911189.994,1.21097319,21597703.66,9911200,6119286.397,,7.54706784,202.9791549,2732.339284,13560.47866,131951.9346,1356234.524,2011456.036,2665170.541,1897569.762,1832303.853,36987,4816,6.234909015,,1205.711774,7524.056624,0.003197294336,7500,9.022295137,1.082754627,7964131.332,1163148.564,783910.0985,,,,,2524703.143,0,19339972786397,1.16E+16,,,,,,846347,33482,-1.943956541,1.750357199,-0.1931506584,0.172196297,0.4582114059,0.4509021353,0.1961697978,0.08908155622,0,0.3851348715,12326,892842.1378,,2180078.946
2012-09-11,11.2258135,414.1745585,1.00015178,1.003477309,1.829248585,287922.8239,294603.5347,0.004244530261,3.65E-07,28.07079305,1.904151194,40790.95486,0.4445266833,0.002954807156,1856207.986,1.422931334,0.8848551986,1.862504985,1.216521609,-1165.557811,9918439.993,1.219312256,1100517.596,9918450,6126173.465,,7.66190143,203.6332385,2736.748711,13523.38585,132477.9405,1359593.277,1999694.041,2681048.534,1871688.164,1857466.607,44977,7431,6.241866248,,40.13356207,7280.790282,0.004228975202,7250,4.81627012,1.003252889,7932732.427,1186314.706,799392.8602,,,,,2524886.313,0,18469539173389,1.16E+16,,,,,,849434,38080,-1.796102056,1.630053866,-0.2315464917,0.1779841864,0.4630886855,0.450817617,0.1962530113,0.08926345548,0,0.3847501322,15869,33895.91418,,2178436.958
2012-09-12,11.3389225,406.0090596,1.001297672,1.021705365,1.263036987,288045.7515,294746.6394,0.004280819733,3.68E-07,28.02791589,2.055219977,40618.51401,0.4456765867,0.00358934947,1891506.728,1.432253933,0.8660196419,1.873038881,1.21640639,700.2796899,9926189.991,1.223145455,2555308.493,9926150,6131355.005,,7.69735844,204.385734,2738.539444,13517.31962,132860.2312,1360396.289,1977121.512,2693221.884,1914089.284,1832032.848,33735,4807,6.261637753,,740.4006519,7770.502125,0.002638455625,7750,11.99315652,1.020811313,7894593.898,1214265.705,817330.3875,,,,,2525083.573,0,20054807914979,1.16E+16,,,,,,853376,27941,-1.911812198,1.255582297,-0.01957119045,0.1779063247,0.4661082532,0.4507158277,0.1963288224,0.08947125723,0,0.3845537601,12545,155173.8528,,2177723.6
2012-09-13,11.37300333,399.3282099,1.000362906,1.015873772,2.119346653,287519.1518,294185.9324,0.004309139244,3.68E-07,28.06407485,1.73605187,48007.79132,0.4488013486,0.002832708425,1907953.036,1.441517018,0.8827194046,1.882114582,1.217279488,345.8496492,9932689.99,1.224415807,1618789.873,9932700,6137430.899,,7.74581496,205.0336691,2740.340345,13565.159,133334.7826,1363056.751,1984076.2,2691438.988,1896070.637,1848194.353,34764,4354,6.274290682,,1086.242601,6519.684136,0.003019185592,6500,70.5856363,1.013520236,7897377.557,1235703.411,799609.022,,,,,2524346.063,0,16362204898552,1.16E+16,,,,,,854573,28895,-2.067017377,1.190824326,0.02177828872,0.1784959738,0.4686827201,0.4506773528,0.1965323507,0.08969415365,0,0.3843264438,11676,92014.5279,,2178874.342
2012-09-14,11.7316,378.5617846,1.000610557,1.017762341,2.102655101,286832.6936,293486.6713,0.0043725564,3.79E-07,28.28518909,2.191913297,52940.93149,0.4645705852,0.00302000771,1968199.282,1.54713665,0.8963507212,1.949110911,1.252745021,-524.1719739,9940789.99,1.263817056,1529263.567,9940800,6142767.164,,7.81276882,205.6557411,2742.950476,13606.4897,133630.9267,1362209.377,1984657.246,2709714.271,1865833.994,1868181.267,37932,4969,6.291287504,,562.0627272,8120.220126,0.002490095779,8100,11.62970246,1.015029403,7880415.132,1267808.934,792565.9241,,,,,2524965.629,0,20480047985744,1.16E+16,,,,,,856205,35956,-2.545659545,1.170935056,-0.09192323906,0.2017529638,0.4869455637,0.4505957236,0.1965954793,0.08977699179,0,0.383949017,12966,125449.9818,,2179923.054
2012-09-15,11.682625,373.7532457,1.002042677,1.030452817,1.695531807,287274.2919,292530.6378,0.004413039959,3.76E-07,28.43877942,1.967946061,54717.86091,0.4539891493,0.004660965565,1959783.061,1.5252454,0.8511064052,1.941680823,1.241411214,159.7535806,9947989.99,1.257121557,3409378.461,9948000,6148654.159,,7.84310477,206.1830782,2746.78647,13647.33514,133935.8551,1365459.619,1981705.828,2718784.257,1961462.856,1770033.427,29929,4330,6.31171528,,721.8075079,7214.733665,0.002042163351,7200,7.38160504,1.024559613,7872883.862,1292075.893,783030.2344,,,,,2521315.268,0,18880476947976,1.16E+16,,,,,,858613,27104,-2.627057901,1.026815978,-0.1955639861,0.1944651467,0.4849822958,0.4504264745,0.1969770105,0.08995829513,0,0.3839397511,11361,164555.6346,,2181246.105
2012-09-16,11.86309056,376.3593221,1.000814593,1.026521337,1.5844486,286941.7326,292185.6273,0.004454944213,3.81E-07,28.62032032,2.221768433,85267.86137,0.465366922,0.004153650326,1989628.577,1.572802268,0.8845815296,1.974448432,1.256401652,-682.3845256,9956039.987,1.276382183,1951859.531,9956050,6153981.266,,7.89310822,206.7674629,2749.284578,13687.91049,134090.3639,1363988.824,1978245.273,2728647.353,1956652.507,1777763.81,31331,4631,6.329692856,,39.40898229,8064.762936,0.001830548091,8050,11.91473565,1.025162839,7846739.967,1323799.283,785500.738,,,,,2519933.944,0,20112785206044,1.16E+16,,,,,,860791,28254,0.9180839397,0.3493381594,-0.9198383034,0.2040761821,0.4935294417,0.4502154564,0.197109662,0.09019693955,0,0.3836311227,12318,133973.8294,,2182262.94
2012-09-17,11.89708167,381.5200084,1.000924423,1.021581958,1.220376623,290754.331,296361.537,0.004458803641,3.80E-07,28.48357326,2.317920138,89242.09429,0.4671657121,0.003075064913,1980632.565,1.570768979,0.8926189594,1.983750454,1.252035935,104.3488325,9964439.986,1.275479835,8160610.154,9964450,6143310.523,,7.9457952,207.395312,2752.577022,13713.08023,134529.8332,1367274.94,1993215.807,2704588.719,1950867.862,1797281.827,32669,4482,6.348721772,,143.7490148,8414.624593,0.001737997139,8400,7.97606436,1.016073901,7838709.709,1359126.113,766604.1645,,,,,2504903.652,0,21187871287053,1.16E+16,,,,,,862206,24278,0.9878374434,-0.2446487868,-0.3655966566,0.2013008794,0.4959043373,0.4486603689,0.1972763334,0.09038684925,0,0.3842081425,12281,143105.3446,,2182434.7
2012-09-18,12.29473333,386.6762285,1.001007988,1.019358804,1.145277199,293050.7001,298780.421,0.00447402289,3.92E-07,28.43329783,2.307976829,71483.82498,0.4761454543,0.004496256852,2030145.694,1.674085548,0.8915485893,2.058578943,1.285828904,567.0481478,9972789.985,1.317114322,10135118.73,9972800,6127563.513,,7.97796077,208.2644913,2755.99773,13800.96819,135027.2977,1371860.399,2028399.011,2676680.94,1924360.622,1819688.507,38396,6439,6.369102733,,710.7787626,8372.399761,0.00267542893,8350,25.67343608,1.014460545,7831136.314,1394323.445,747330.2257,,,,,2482148.475,0,21335934625749,1.16E+16,,,,,,866181,32654,2.199534231,1.327905379,0.821742804,0.2222915532,0.5142280049,0.4463395211,0.1974476878,0.09058692042,0,0.38508103,14740,156596.24,,2183190.777
2012-09-19,12.52199,408.1589443,1.000895002,1.032368344,2.378235256,294457.1912,300090.1375,0.004599647663,3.98E-07,28.72604691,2.006462216,71665.0535,0.4882546752,0.007355164599,2071537.958,1.724395817,0.8857608587,2.096796635,1.296843347,593.4325254,9979839.984,1.338008794,3654135.06,9979850,6131504.01,,8.03382332,209.1700437,2758.628918,13954.23782,135750.7278,1374804.678,2034624.517,2703008.311,1873013.459,1841708.221,42531,8948,6.407947323,,1304.182788,7071.443364,0.00303238854,7050,44.20460867,1.029415762,7817396.839,1431678.98,730764.1651,,,,,2480897.303,0,17766347479767,1.23E+16,,,,,,871532,32090,1.985391295,-0.305234556,0.9495422607,0.228896842,0.5230820274,0.446244989,0.1976543486,0.09080850313,0,0.3851170709,17853,345604.6498,,2182171.884
